"Country or Area","Year","Value"
"Australia","2018","20114.4448477297"
"Australia","2017","21265.58500213"
"Australia","2016","19566.3917025888"
"Australia","2015","19557.6306196468"
"Australia","2014","20096.6636090506"
"Australia","2013","19651.6209137161"
"Australia","2012","20821.1942621386"
"Australia","2011","20478.3226617797"
"Australia","2010","19711.3541924073"
"Australia","2009","19818.9801221028"
"Australia","2008","19431.1955305648"
"Australia","2007","19156.9940555132"
"Australia","2006","20723.3763380542"
"Australia","2005","20793.9632230892"
"Australia","2004","20697.9552754028"
"Australia","2003","19019.8886337367"
"Australia","2002","20212.3402827668"
"Australia","2001","19686.1664810306"
"Australia","2000","19366.1912442857"
"Australia","1999","18387.6517109739"
"Australia","1998","17892.4180134994"
"Australia","1997","17647.3233467615"
"Australia","1996","16850.8412064025"
"Australia","1995","15585.3690291868"
"Australia","1994","16316.0512897778"
"Australia","1993","15837.1856102106"
"Australia","1992","15367.9562181118"
"Australia","1991","15558.9119038648"
"Australia","1990","15938.285071524"
"Austria","2018","3526.08267409654"
"Austria","2017","3561.8030278808"
"Austria","2016","3620.06097658115"
"Austria","2015","3528.5032447387"
"Austria","2014","3518.6950262209"
"Austria","2013","3434.52028693644"
"Austria","2012","3449.43942196486"
"Austria","2011","3481.29621020231"
"Austria","2010","3388.6424230002"
"Austria","2009","3583.36073414705"
"Austria","2008","3805.05345633193"
"Austria","2007","3624.90245522465"
"Austria","2006","3610.45357269368"
"Austria","2005","3601.49944165574"
"Austria","2004","3603.29570141399"
"Austria","2003","4189.91480427717"
"Austria","2002","4199.38695146376"
"Austria","2001","4194.97838735526"
"Austria","2000","4319.46416232955"
"Austria","1999","4338.87668351528"
"Austria","1998","4347.65562098353"
"Austria","1997","4300.24285574162"
"Austria","1996","4273.99622673534"
"Austria","1995","4243.97673634399"
"Austria","1994","4147.83657838233"
"Austria","1993","4195.43746272466"
"Austria","1992","4165.8952083909"
"Austria","1991","4354.36607499043"
"Austria","1990","4320.61835317663"
"Belarus","2018","14019.8442623828"
"Belarus","2017","14435.0987004081"
"Belarus","2016","13971.9375037689"
"Belarus","2015","13810.9533926823"
"Belarus","2014","14097.265631088"
